learner_id,audio_type,canonical_text,audio_file,textgrid
010101_070311_B,full_letter_grid,g U L e k h K n y Ch A j D r S I z p M s F B Z O W N P f T d l m Y J t v H R G w,010101_070311_B-audio_letters_grids_letters_grid.wav,010101_070311_B-audio_letters_grids_letters_grid.TextGrid
010101_070311_B,full_nonword_grid,takibu lihi zame kela limwamu ongu chito fumre domgo mbwaku nyuya leki twaiana rabo buba mbekoki fasira mbeje lengeke goge funanziwa suki uhu zihi nefesi daifa lesho towato pifu tewo riga rinzu rufishi koya varede vinja rakinja naji,010101_070311_B-audio_non_words_grid_non_words_grid.wav,010101_070311_B-audio_non_words_grid_non_words_grid.TextGrid
010101_070311_B,full_syllable1_grid,mbe gwo da nwu nda ngwi two dho vyi ta pyo ko a du vyo shu fu la tu swo fyo lu ngu two bwe lwo fe nyo mbo kyo khi ke mbu sa swi ha bu po mi ki ka tha tha zwi ngu bwi shi nde pe fya jwi hu ng'i hwo bwe twu tha nyi fyu fta fwu za bo ba nye mo sha de gwi fya,010101_070311_B-audio_grid_syllables_1_syllables_grid_1.wav,010101_070311_B-audio_grid_syllables_1_syllables_grid_1.TextGrid
010101_070311_B,full_syllable1_grid,mbe gwo da nwu nda ngwi two dho vyi ta pyo ko a du vyo shu fu la tu swo fyo lu ngu two bwe lwo fe nyo mbo kyo khi ke mbu sa swi ha bu po mi ki ka tha tha zwi ngu bwi shi nde pe fya jwi hu ng'i hwo bwe twu tha nyi fyu fta fwu za bo ba nye mo sha de gwi fya,010101_070311_B-audio_grid_syllables_1_syllables_grid_1.wav,010101_070311_B-audio_grid_syllables_1_syllables_grid_1.TextGrid
010101_070311_B,iso_letter_1,a,010101_070311_B-audio_iso_letter_1_iso_letter_1.wav,010101_070311_B-audio_iso_letter_1_iso_letter_1.TextGrid
010101_070311_B,iso_letter_2,E,010101_070311_B-audio_iso_letter_2_iso_letter_2.wav,010101_070311_B-audio_iso_letter_2_iso_letter_2.TextGrid
010101_070311_B,iso_letter_3,i,010101_070311_B-audio_iso_letter_3_iso_letter_3.wav,010101_070311_B-audio_iso_letter_3_iso_letter_3.TextGrid
010101_070311_B,iso_non_word1,tikaka,010101_070311_B-audio_iso_non_word1_iso_non_word1.wav,010101_070311_B-audio_iso_non_word1_iso_non_word1.TextGrid
010101_070311_B,iso_non_word2,yuhu,010101_070311_B-audio_iso_non_word2_iso_non_word2.wav,010101_070311_B-audio_iso_non_word2_iso_non_word2.TextGrid
010101_070311_B,iso_non_word3,rishadi,010101_070311_B-audio_iso_non_word3_iso_non_word3.wav,010101_070311_B-audio_iso_non_word3_iso_non_word3.TextGrid
010101_070311_B,iso_non_word4,mbanyu,010101_070311_B-audio_iso_non_word4_iso_non_word4.wav,010101_070311_B-audio_iso_non_word4_iso_non_word4.TextGrid
010101_070311_B,iso_non_word5,keya,010101_070311_B-audio_iso_non_word5_iso_non_word5.wav,010101_070311_B-audio_iso_non_word5_iso_non_word5.TextGrid
010101_070311_B,iso_random_letters1_1,o,010101_070311_B-audio_iso_random_letters1_1_iso_random_letters1_1.wav,010101_070311_B-audio_iso_random_letters1_1_iso_random_letters1_1.TextGrid
010101_070311_B,iso_random_letters1_2,u,010101_070311_B-audio_iso_random_letters1_2_iso_random_letters1_2.wav,010101_070311_B-audio_iso_random_letters1_2_iso_random_letters1_2.TextGrid
010101_070311_B,iso_random_letters1_3,b,010101_070311_B-audio_iso_random_letters1_3_iso_random_letters1_3.wav,010101_070311_B-audio_iso_random_letters1_3_iso_random_letters1_3.TextGrid
010101_070311_B,iso_random_nw_jami_10,jami,010101_070311_B-audio_iso_random_nw_jami_iso_random_nw_jami.wav,010101_070311_B-audio_iso_random_nw_jami_iso_random_nw_jami.TextGrid
010101_070311_B,iso_random_nw_kamula_2,kamula,010101_070311_B-audio_iso_random_nw_kamula_iso_random_nw_kamula.wav,010101_070311_B-audio_iso_random_nw_kamula_iso_random_nw_kamula.TextGrid
010101_070311_B,iso_random_nw_kojima_5,kojima,010101_070311_B-audio_iso_random_nw_kojima_iso_random_nw_kojima.wav,010101_070311_B-audio_iso_random_nw_kojima_iso_random_nw_kojima.TextGrid
010101_070311_B,iso_random_nw_naa_1,naa,010101_070311_B-audio_iso_random_nw_naa_iso_random_nw_naa.wav,010101_070311_B-audio_iso_random_nw_naa_iso_random_nw_naa.TextGrid
010101_070311_B,iso_random_nw_sarada_8,sarada,010101_070311_B-audio_iso_random_nw_sarada_iso_random_nw_sarada.wav,010101_070311_B-audio_iso_random_nw_sarada_iso_random_nw_sarada.TextGrid
010101_070311_B,iso_random_nw_shoke_3,shoke,010101_070311_B-audio_iso_random_nw_shoke_iso_random_nw_shoke.wav,010101_070311_B-audio_iso_random_nw_shoke_iso_random_nw_shoke.TextGrid
010101_070311_B,iso_random_nw_tuwa_7,tuwa,010101_070311_B-audio_iso_random_nw_tuwa_iso_random_nw_tuwa.wav,010101_070311_B-audio_iso_random_nw_tuwa_iso_random_nw_tuwa.TextGrid
