audio_type	task_id	task_name
passage_num11	T1	passage_passage
full_syllable1_grid	T2	syllables_grid
iso_syllable1_1	T3	syllables_isolated
iso_syllable1_2	T3	syllables_isolated
iso_syllable1_3	T3	syllables_isolated
iso_syllable1_4	T3	syllables_isolated
iso_syllable1_5	T3	syllables_isolated
rand_syllable_10_1	T3	syllables_isolated
rand_syllable_11_1	T3	syllables_isolated
rand_syllable_12_1	T3	syllables_isolated
rand_syllable_13_1	T3	syllables_isolated
rand_syllable_14_1	T3	syllables_isolated
rand_syllable_15_1	T3	syllables_isolated
rand_syllable_16_1	T3	syllables_isolated
rand_syllable_17_1	T3	syllables_isolated
rand_syllable_18_1	T3	syllables_isolated
rand_syllable_19_1	T3	syllables_isolated
rand_syllable_20_1	T3	syllables_isolated
rand_syllable_6_1	T3	syllables_isolated
rand_syllable_7_1	T3	syllables_isolated
rand_syllable_8_1	T3	syllables_isolated
rand_syllable_9_1	T3	syllables_isolated
full_nonword_grid	T4	nonwords_grid
iso_non_word1	T5	nonwords_isolated
iso_non_word2	T5	nonwords_isolated
iso_non_word3	T5	nonwords_isolated
iso_non_word4	T5	nonwords_isolated
iso_non_word5	T5	nonwords_isolated
iso_random_nw_jami_10	T5	nonwords_isolated
iso_random_nw_kamula_2	T5	nonwords_isolated
iso_random_nw_kojima_5	T5	nonwords_isolated
iso_random_nw_naa_1	T5	nonwords_isolated
iso_random_nw_sarada_8	T5	nonwords_isolated
iso_random_nw_shoke_3	T5	nonwords_isolated
iso_random_nw_tuwa_7	T5	nonwords_isolated
full_letter_grid	T6	letters_grid
iso_letter_1	T7	letters_isolated
iso_letter_2	T7	letters_isolated
iso_letter_3	T7	letters_isolated
iso_random_letters1_1	T7	letters_isolated
iso_random_letters1_2	T7	letters_isolated
iso_random_letters1_3	T7	letters_isolated
